data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-07-22T00:00:00.000,7.0,BAGES,8113.0,MANRESA,,No classificat,0.0,Home,Positiu per Test Ràpid,2,row-vc9a.hwr6~d9mr
2020-09-19T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,3.0,SANTS-MONTJUÏC,1.0,Dona,PCR probable,1,row-rw2i_j4q3-wbqb
2020-06-10T00:00:00.000,11.0,BAIX LLOBREGAT,8301.0,VILADECANS,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-9giv_igr4-7wev
2020-11-03T00:00:00.000,11.0,BAIX LLOBREGAT,8169.0,EL PRAT DE LLOBREGAT,,No classificat,1.0,Dona,PCR probable,1,row-di8s_t3gc.xh66
2021-03-24T00:00:00.000,42.0,MOIANÈS,8258.0,SANTA MARIA D'OLÓ,,No classificat,0.0,Home,Positiu PCR,1,row-pi2h-ygjj_2v6a
2020-07-24T00:00:00.000,20.0,GIRONES,17079.0,GIRONA,,No classificat,0.0,Home,Positiu per Test Ràpid,2,row-6xfi.ntby-u3p6
2020-07-23T00:00:00.000,21.0,MARESME,8121.0,MATARÓ,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-jrf6~27e7~wa8k
2020-09-22T00:00:00.000,11.0,BAIX LLOBREGAT,8211.0,SANT FELIU DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per Test Ràpid,2,row-khjr_wzay.hzxw
2020-09-22T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per ELISA,2,row-druk_k2qa~k3u3
2020-09-22T00:00:00.000,19.0,GARROTXA,17114.0,OLOT,,No classificat,0.0,Home,Positiu per Test Ràpid,2,row-vnqc.mpei_j5h3
2020-07-29T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,1.0,CIUTAT VELLA,1.0,Dona,Positiu per Test Ràpid,2,row-3bw3.jfkx_68ba
2020-11-12T00:00:00.000,8.0,BAIX CAMP,43003.0,L'ALBIOL,,No classificat,1.0,Dona,PCR probable,1,row-qnjp-dfzd_3vg4
2020-05-06T00:00:00.000,20.0,GIRONES,17079.0,GIRONA,,No classificat,1.0,Dona,Positiu per Test Ràpid,4,row-pgf4_xgay-m7wn
2020-09-22T00:00:00.000,11.0,BAIX LLOBREGAT,8077.0,ESPLUGUES DE LLOBREGAT,,No classificat,0.0,Home,PCR probable,1,row-xsbv-fn3i~wx7a
2020-04-03T00:00:00.000,40.0,VALLES OCCIDENTAL,8279.0,TERRASSA,,No classificat,1.0,Dona,Positiu per ELISA,4,row-4f3b-aas9~mz2p
2020-04-24T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,,No classificat,1.0,Dona,Epidemiològic,4,row-j5nd~pii5~nia3
2020-08-14T00:00:00.000,41.0,VALLES ORIENTAL,8096.0,GRANOLLERS,,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-rfra-2b7b-4jn5
2020-05-27T00:00:00.000,40.0,VALLES OCCIDENTAL,8260.0,SANTA PERPÈTUA DE MOGODA,,No classificat,0.0,Home,Positiu per ELISA,1,row-4acn_9p49~dqsb
